Property_ID,Host_ID,Listing_Name,Location,Total_Reviews,Positive_Reviews,Negative_Reviews,Avg_Sentiment_Score,Cleanliness_Rating,Communication_Rating,Checkin_Rating,Location_Rating,Value_Rating,Advantages,Disadvantages,Suggestions,Suggestion_Sources
6943815,21271697,"Entire rental unit in Paris, France","Paris, Île-de-France, France",119,112,7,0.884,4.8,4.9,4.9,4.9,4.7,Great Location (36x); Responsive Host (28x); Highly Recommend (17x); Very Comfortable (13x); Walkable (13x),Smell Issues (3x); Dirty General (2x); Noise General (2x),"[Smell Issues]: Everyone has a different sense of smell. Strong scents of any kind can be off-putting to guests. Trying to mask odors with bleach, air fresheners, or other solutions usually doesn’t work, Diana says. || [Dirty General]: Clean and declutter. Show guests exactly what they can expect. “It’s surprising how many people forget to clear their spaces of random objects before taking photos,” says Jeff, a photographer and Superhost in Joshua Tree, California. || [Noise General]: Include a short, descriptive listing title. Check that your title offers a unique, accurate perspective of your home and surroundings. For example, “Quiet studio near Uffizi” conveys in a few words that the place is a peaceful, centrally located apartment in Florence, Italy.",How to become a Superhost - Resource Center - Airbnb | How to take great photos for your listing - Resource Center - Airbnb | Clean like a pro with these expert tips - Resource Center - Airbnb
4721885,6768004,"Entire rental unit in Paris, France","Paris, Île-de-France, France",72,69,3,0.916,4.9,5.0,5.0,5.0,4.8,Great Location (27x); Very Comfortable (17x); Responsive Host (17x); Highly Recommend (14x); Will Return (11x),No issues identified,Note: 3 negative review(s) detected but no specific issues were identified by our analysis. We recommend manually reviewing the feedback for insights.,
989255591588417567,37529970,"Entire townhouse in Paris, France","Paris, Île-de-France, France",72,72,0,1.0,5.0,5.0,5.0,5.0,4.9,Beautiful Place (25x); Walkable (16x); Responsive Host (16x); Highly Recommend (14x); Great Host (11x),No issues identified,No issues identified - keep up the great work!,
932572006139750529,14469088,"Entire rental unit in Paris, France","Paris, Île-de-France, France",72,72,0,1.0,5.0,5.0,5.0,4.9,4.9,Spacious (15x); Will Return (15x); Very Clean (12x); Very Comfortable (11x); Beautiful Place (9x),No issues identified,No issues identified - keep up the great work!,
1596929,7642792,"Entire rental unit in Paris, France","Paris, Paris province, France",72,57,15,0.587,4.5,4.7,4.7,4.9,4.4,Great Location (22x); Walkable (9x); Quiet Area (9x); Responsive Host (9x); Very Comfortable (8x),No issues identified,Note: 15 negative review(s) detected but no specific issues were identified by our analysis. We recommend manually reviewing the feedback for insights.,
17535329,40791393,"Room in Paris, France","Paris, Île-de-France, France",72,46,26,0.282,4.5,4.8,4.8,4.9,4.6,Will Return (11x); Great Location (10x); Highly Recommend (10x); Perfect Stay (7x); Great Host (4x),Bugs Pests (2x); Too Small (2x),"[Bugs Pests]: Cleanliness: Did the home meet our standards? (It should be free of health hazards like mold and pests. It should also be free of extensive dust, pet dander, dirty dishes, etc.). || [Too Small]: Be sure to showcase the changes you’ve made by updating your amenities, listing description, and photos. Adding just a few sought-after items can go a long way toward making guests feel more comfortable in your space—and could lead to great reviews.",The amenities guests want - Resource Center - Airbnb | Ratings for homes - Airbnb Help Center
28562915,26964462,"Room in Paris, France","Paris, Île-de-France, France",72,71,1,0.971,5.0,5.0,5.0,5.0,4.9,Highly Recommend (16x); Great Location (13x); Walkable (9x); Very Clean (8x); Central (7x),No issues identified,Note: 1 negative review(s) detected but no specific issues were identified by our analysis. We recommend manually reviewing the feedback for insights.,
17259832,102485302,"Entire rental unit in Paris, France","Paris, Île-de-France, France",71,61,10,0.71,4.3,4.5,4.3,4.7,4.3,Responsive Host (14x); Highly Recommend (14x); Great Location (11x); Will Return (9x); Walkable (7x),Dirty General (5x); Smell Issues (4x); Noise Street (3x); Too Small (2x); Safety Concerns (2x),"[Dirty General]: Clean and declutter. Show guests exactly what they can expect. “It’s surprising how many people forget to clear their spaces of random objects before taking photos,” says Jeff, a photographer and Superhost in Joshua Tree, California. || [Smell Issues]: Everyone has a different sense of smell. Strong scents of any kind can be off-putting to guests. Trying to mask odors with bleach, air fresheners, or other solutions usually doesn’t work, Diana says. || [Noise Street]: Location. How did the guest feel about the area and neighborhood?",How to take great photos for your listing - Resource Center - Airbnb | Clean like a pro with these expert tips - Resource Center - Airbnb | Why reviews matter - Resource Center - Airbnb
779600526089093858,656613870,"Entire rental unit in Paris, France","Paris, Île-de-France, France",71,66,5,0.856,4.8,4.8,4.9,4.9,4.7,Very Clean (21x); Responsive Host (18x); Very Comfortable (15x); Walkable (14x); Will Return (10x),Smell Issues (5x); Too Hot (2x),"[Smell Issues]: Everyone has a different sense of smell. Strong scents of any kind can be off-putting to guests. Trying to mask odors with bleach, air fresheners, or other solutions usually doesn’t work, Diana says. || [Too Hot]: Opening doors and windows or using fans doesn’t stop carbon monoxide building up indoors. Although carbon monoxide can't be seen or smelled, it can rapidly lead to full incapacitation and death. If you start to feel sick, dizzy, or weak, get to fresh air right away—don’t delay.",Fire and carbon monoxide safety - Airbnb Help Center | Clean like a pro with these expert tips - Resource Center - Airbnb
52890054,305219432,"Entire rental unit in Paris, France","Paris, Île-de-France, France",69,65,4,0.879,4.9,4.9,4.9,4.9,4.6,Great Location (13x); Responsive Host (8x); Highly Recommend (7x); Will Return (6x); Walkable (3x),Wifi Issues (2x); Smell Issues (2x); Uncomfortable Bed (2x); Dirty General (1x),"[Wifi Issues]: Wifi: Provide the wifi network and password at your home or location. || [Smell Issues]: Everyone has a different sense of smell. Strong scents of any kind can be off-putting to guests. Trying to mask odors with bleach, air fresheners, or other solutions usually doesn’t work, Diana says. || [Uncomfortable Bed]: Bedding. This includes a bed sheet; a blanket, comforter, or top-sheet; and one sleeping pillow per person with a pillowcase.",Using quick replies to save time - Resource Center - Airbnb | Confirming amenities - Airbnb Help Center | Clean like a pro with these expert tips - Resource Center - Airbnb
1168708537247314686,580477826,"Entire rental unit in Paris, France","Paris, Île-de-France, France",60,57,3,0.901,4.6,5.0,4.9,4.9,4.8,Spacious (21x); Great Location (12x); Responsive Host (6x); Well Equipped (6x); Highly Recommend (6x),Dirty General (3x); Too Small (3x),"[Dirty General]: Clean and declutter. Show guests exactly what they can expect. “It’s surprising how many people forget to clear their spaces of random objects before taking photos,” says Jeff, a photographer and Superhost in Joshua Tree, California. || [Too Small]: Be sure to showcase the changes you’ve made by updating your amenities, listing description, and photos. Adding just a few sought-after items can go a long way toward making guests feel more comfortable in your space—and could lead to great reviews.",How to take great photos for your listing - Resource Center - Airbnb | The amenities guests want - Resource Center - Airbnb
787028365819778757,16675285,"Entire rental unit in Paris, France","Paris, Île-de-France, France",51,51,0,0.997,5.0,5.0,4.9,4.8,4.9,Quiet Area (12x); Well Equipped (12x); Great Location (9x); Central (3x); Highly Recommend (3x),Noise General (9x),"[Noise General]: Include a short, descriptive listing title. Check that your title offers a unique, accurate perspective of your home and surroundings. For example, “Quiet studio near Uffizi” conveys in a few words that the place is a peaceful, centrally located apartment in Florence, Italy.",How to become a Superhost - Resource Center - Airbnb
7851807,6774720,"Entire rental unit in Paris, France","Paris, Île-de-France, France",48,48,0,0.999,5.0,5.0,5.0,4.9,4.8,Highly Recommend (13x); Very Comfortable (9x); Great Location (9x); Responsive Host (8x); Walkable (7x),Overpriced (1x),"[Overpriced]: You can develop and evolve your Smart Pricing strategy over time. This includes adjusting minimum and maximum prices, as well as setting custom prices, promotions, and discounts for the dates you’ve chosen to override Smart Pricing.",What is Smart Pricing? – Resource Centre – Airbnb
29509783,211140048,"Entire rental unit in Paris, France","Paris, Île-de-France, France",48,48,0,0.999,4.9,5.0,5.0,4.9,4.7,Highly Recommend (12x); Very Clean (10x); Quiet Area (6x); Great Location (6x); Walkable (4x),No issues identified,No issues identified - keep up the great work!,
21546773,13911890,"Entire rental unit in Paris, France","Paris, Île-de-France, France",48,48,0,1.0,4.9,5.0,4.9,5.0,4.9,Will Return (16x); Responsive Host (14x); Spacious (8x); Great Host (6x); Beautiful Place (6x),No issues identified,No issues identified - keep up the great work!,
874627678824287939,126639924,"Entire rental unit in Paris, France","Paris, Île-de-France, France",48,48,0,0.994,4.7,5.0,5.0,4.9,4.8,Responsive Host (10x); Will Return (9x); Highly Recommend (8x); Quiet Area (7x); Well Equipped (6x),Too Small (1x),"[Too Small]: Be sure to showcase the changes you’ve made by updating your amenities, listing description, and photos. Adding just a few sought-after items can go a long way toward making guests feel more comfortable in your space—and could lead to great reviews.",The amenities guests want - Resource Center - Airbnb
21133304,12834937,"Entire rental unit in Paris, France","Paris, Île-de-France, France",48,48,0,0.998,4.8,4.9,5.0,5.0,4.7,Great Location (12x); Responsive Host (10x); Highly Recommend (10x); Very Comfortable (10x); Great Host (8x),No issues identified,No issues identified - keep up the great work!,
30231191,806549,"Entire rental unit in Paris, France","Paris, Île-de-France, France",48,48,0,0.991,5.0,5.0,5.0,5.0,4.9,Well Equipped (19x); Highly Recommend (18x); Walkable (17x); Will Return (10x); Great Location (9x),No issues identified,No issues identified - keep up the great work!,
633333929678229469,3093426,"Entire rental unit in Paris, France","Paris, Île-de-France, France",48,48,0,0.999,5.0,5.0,5.0,4.9,4.8,Quiet Area (10x); Highly Recommend (9x); Responsive Host (8x); Great Location (7x); Walkable (6x),Noise Street (2x),[Noise Street]: Location. How did the guest feel about the area and neighborhood?,Why reviews matter - Resource Center - Airbnb
743297895758351136,484608517,"Entire rental unit in Paris, France","Paris, Île-de-France, France",48,24,24,0.006,4.7,4.9,4.9,4.9,4.7,Responsive Host (6x); Spacious (5x); Perfect Stay (4x); Walkable (4x); Highly Recommend (4x),No issues identified,Note: 24 negative review(s) detected but no specific issues were identified by our analysis. We recommend manually reviewing the feedback for insights.,
20940292,99199946,"Entire rental unit in Paris, France","Paris, IDF, France",48,42,6,0.748,4.9,4.8,4.7,5.0,4.6,Great Location (16x); Spacious (12x); Will Return (6x); Highly Recommend (6x); Well Equipped (4x),Too Hot (10x),"[Too Hot]: Opening doors and windows or using fans doesn’t stop carbon monoxide building up indoors. Although carbon monoxide can't be seen or smelled, it can rapidly lead to full incapacitation and death. If you start to feel sick, dizzy, or weak, get to fresh air right away—don’t delay.",Fire and carbon monoxide safety - Airbnb Help Center
883411369874216815,454125083,"Entire rental unit in Paris, France","Paris, Île-de-France, France",48,45,3,0.877,4.7,5.0,4.9,4.9,4.6,Very Comfortable (15x); Great Location (12x); Responsive Host (11x); Easy Checkin (6x); Will Return (6x),Dirty General (2x),"[Dirty General]: Clean and declutter. Show guests exactly what they can expect. “It’s surprising how many people forget to clear their spaces of random objects before taking photos,” says Jeff, a photographer and Superhost in Joshua Tree, California.",How to take great photos for your listing - Resource Center - Airbnb
20878659,16803280,"Room in Paris, France","Paris, Île-de-France, France",48,40,8,0.668,4.4,4.8,4.7,4.9,4.5,Very Comfortable (8x); Walkable (8x); Spacious (6x); Will Return (6x); Beautiful Place (6x),Too Small (4x); Safety Concerns (2x),"[Too Small]: Be sure to showcase the changes you’ve made by updating your amenities, listing description, and photos. Adding just a few sought-after items can go a long way toward making guests feel more comfortable in your space—and could lead to great reviews. || [Safety Concerns]: Location: Was the guest made aware of safety, transportation, points of interest, and special considerations like noise or other situations that might affect them?",The amenities guests want - Resource Center - Airbnb | Ratings for homes - Airbnb Help Center
884749714303098121,401177022,"Entire rental unit in Paris, France","Paris, Île-de-France, France",48,45,3,0.87,4.8,4.8,5.0,4.7,4.7,Great Location (8x); Walkable (7x); Very Comfortable (7x); Highly Recommend (6x); Very Clean (4x),Too Hot (2x); Noise General (2x),"[Too Hot]: Opening doors and windows or using fans doesn’t stop carbon monoxide building up indoors. Although carbon monoxide can't be seen or smelled, it can rapidly lead to full incapacitation and death. If you start to feel sick, dizzy, or weak, get to fresh air right away—don’t delay. || [Noise General]: Include a short, descriptive listing title. Check that your title offers a unique, accurate perspective of your home and surroundings. For example, “Quiet studio near Uffizi” conveys in a few words that the place is a peaceful, centrally located apartment in Florence, Italy.",Fire and carbon monoxide safety - Airbnb Help Center | How to become a Superhost - Resource Center - Airbnb
885933,4696466,"Entire loft in Paris, France","Paris, Île-de-France, France",48,48,0,0.997,4.8,5.0,4.8,5.0,4.8,Great Location (14x); Highly Recommend (10x); Responsive Host (6x); Will Return (6x); Great Host (6x),No issues identified,No issues identified - keep up the great work!,
563565877725893767,403821385,"Entire rental unit in Paris, France","Paris, Île-de-France, France",48,43,5,0.802,4.6,4.7,4.8,4.6,4.1,Great Location (8x); Very Clean (5x); Spacious (4x); Well Equipped (4x); Responsive Host (3x),Too Small (2x),"[Too Small]: Be sure to showcase the changes you’ve made by updating your amenities, listing description, and photos. Adding just a few sought-after items can go a long way toward making guests feel more comfortable in your space—and could lead to great reviews.",The amenities guests want - Resource Center - Airbnb
2185342,11143526,"Room in Paris, France","Paris, Île-de-France, France",48,48,0,0.993,4.8,4.9,4.9,4.9,4.8,Very Comfortable (10x); Beautiful Place (8x); Great Location (8x); Perfect Stay (6x); Highly Recommend (6x),Noise General (2x); Safety Concerns (2x),"[Noise General]: Include a short, descriptive listing title. Check that your title offers a unique, accurate perspective of your home and surroundings. For example, “Quiet studio near Uffizi” conveys in a few words that the place is a peaceful, centrally located apartment in Florence, Italy. || [Safety Concerns]: Location: Was the guest made aware of safety, transportation, points of interest, and special considerations like noise or other situations that might affect them?",How to become a Superhost - Resource Center - Airbnb | Ratings for homes - Airbnb Help Center
11615086,61498511,"Entire rental unit in Paris, France","Paris, Île-de-France, France",48,48,0,1.0,4.9,5.0,4.9,5.0,4.8,Quiet Area (12x); Spacious (11x); Highly Recommend (10x); Great Location (8x); Will Return (7x),No issues identified,No issues identified - keep up the great work!,
20313940,11961861,"Entire loft in Paris, France","Paris, Île-de-France, France",48,43,5,0.794,4.9,5.0,5.0,5.0,4.8,Great Location (12x); Will Return (12x); Very Comfortable (6x); Quiet Area (5x); Great Host (5x),No issues identified,Note: 5 negative review(s) detected but no specific issues were identified by our analysis. We recommend manually reviewing the feedback for insights.,
895521,4771838,"Entire rental unit in Paris, France","Paris, Île-de-France, France",48,48,0,1.0,4.9,4.9,4.9,5.0,4.8,Great Host (10x); Responsive Host (9x); Will Return (9x); Highly Recommend (8x); Great Location (6x),No issues identified,No issues identified - keep up the great work!,
20196829,1026531,"Entire rental unit in Paris, France","Paris, Île-de-France, France",48,46,2,0.915,4.8,4.8,4.8,5.0,4.7,Great Location (17x); Very Clean (13x); Well Equipped (12x); Will Return (5x); Quiet Area (5x),Noise General (4x); Dirty General (2x); Noise Neighbors (2x); Too Small (1x),"[Noise General]: Include a short, descriptive listing title. Check that your title offers a unique, accurate perspective of your home and surroundings. For example, “Quiet studio near Uffizi” conveys in a few words that the place is a peaceful, centrally located apartment in Florence, Italy. || [Dirty General]: Clean and declutter. Show guests exactly what they can expect. “It’s surprising how many people forget to clear their spaces of random objects before taking photos,” says Jeff, a photographer and Superhost in Joshua Tree, California. || [Noise Neighbors]: Give guests a sense of what to expect with captivating photos of your space—including photos of the inside, outside, and neighborhood around your listing.",How to become a Superhost - Resource Center - Airbnb | How to take great photos for your listing - Resource Center - Airbnb | Taking great photos of your listing - Airbnb Help Center
