Host_ID,Listings,Locations,Property_Count,Total_Reviews,Positive_Reviews,Negative_Reviews,Avg_Sentiment_Score,Avg_Cleanliness_Rating,Avg_Communication_Rating,Avg_Checkin_Rating,Avg_Location_Rating,Avg_Value_Rating,Avg_Price,Avg_Predicted_Price,Price_Delta,Host_Rating,Host_Quality_Score,Is_Superhost,Response_Rate,Avg_Amenities,Avg_Walk_Score,Avg_Lat,Avg_Long,Property_Types,Advantages,Disadvantages,Suggestions,Suggestion_Sources
209667,37082049,"Paris, Ile-de-France, France",1,14,8,6,0.64,4.98,4.57,4.73,4.72,4.78,408.0,624.4794614911502,216.48,4.7,0.5650000000000001,0,63,23.0,74.1,48.85626,2.37976,entire_place,WiFi Available; Full Kitchen; Parking Available,Cleanliness Issues; Slow Response; Overpriced,[Cleanliness]: Improve cleaning standards between guests || [Pricing]: Consider lowering price - currently above market || [Communication]: Improve response time,Airbnb Resource Center | HostIQ Analysis
789620,36617355,"Paris, Ile-de-France, France",1,27,17,10,0.665,4.28,4.8,4.72,4.75,4.58,338.34,155.4845599007428,-182.86,4.55,0.604,0,80,11.0,1.6,48.8601,2.3162,entire_place,WiFi Available; Full Kitchen,Remote Location; Limited Amenities,[Cleanliness]: Improve cleaning standards between guests || [Pricing]: Consider raising price - currently undervalued || [Communication]: Improve response time || [Amenities]: Add more amenities || [Quality]: Focus on guest experience for Superhost status,Airbnb Resource Center | HostIQ Analysis
1475566,1181077268842401519,"Paris, Ile-de-France, France",1,74,72,2,0.986,4.88,5.0,4.79,5.0,4.76,296.24,414.3765361049848,118.14,4.87,0.9896,1,100,41.0,83.1,48.8755,2.3495,entire_place,Superhost Status; Highly Rated (22x); Great Location; WiFi Available; Full Kitchen; Parking Available; Well Equipped; Quick Response; Will Return (14x); Very Clean,Overpriced,[Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
1730434,21848432,"Paris, Ile-de-France, France",1,39,38,1,0.989,4.71,4.79,4.84,4.9,4.66,239.68,322.2785068364627,82.6,4.89,0.9912,1,100,23.0,75.6,48.8715,2.3707,entire_place,Superhost Status; Highly Rated (11x); Great Location; WiFi Available; Full Kitchen; Quick Response; Will Return (7x); Very Clean,Overpriced,[Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
1744480,343862,"Paris, Ile-de-France, France",1,91,67,24,0.743,4.57,4.92,4.78,4.88,5.0,287.06,304.0194361046706,16.96,4.84,0.6872,0,100,39.0,99.4,48.85997,2.3439,entire_place,Highly Rated (27x); Great Location; Full Kitchen; Well Equipped; Quick Response,WiFi Issues,[Cleanliness]: Improve cleaning standards between guests,Airbnb Resource Center | HostIQ Analysis
2160612,1102648563589931603,"Paris, Ile-de-France, France",1,23,22,1,0.996,5.0,4.79,4.93,5.0,4.58,144.67,224.11405905919884,79.44,4.96,0.9968,1,100,31.0,88.8,48.87051845146939,2.350318802855654,entire_place,Superhost Status; Highly Rated (6x); Great Location; WiFi Available; Full Kitchen; Well Equipped; Quick Response; Will Return (4x); Very Clean,Overpriced,[Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
2514640,510375,"Paris, Ile-de-France, France",1,18,13,5,0.736,4.75,4.97,4.97,4.96,4.5,258.35,617.4545549673466,359.1,4.77,0.6816,0,100,25.0,79.6,48.84102,2.3297,entire_place,Great Location; WiFi Available; Full Kitchen; Quick Response,Overpriced,[Cleanliness]: Improve cleaning standards between guests || [Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
2777659,1532201,"Paris, Ile-de-France, France",1,272,264,8,0.972,4.81,5.0,5.0,4.99,4.83,509.0,482.6591757278971,-26.34,4.96,0.9668,1,90,58.0,74.8,48.8527,2.3761,entire_place,Superhost Status; Highly Rated (81x); WiFi Available; Air Conditioning; Full Kitchen; Well Equipped; Will Return (54x); Very Clean,No issues identified,Keep up the great work!,Airbnb Resource Center | HostIQ Analysis
3309080,878966607307161685,"Paris, Ile-de-France, France",1,9,5,4,0.599,4.31,4.68,4.71,4.76,4.51,302.16,333.9187351841541,31.76,4.61,0.5188,0,50,35.0,75.2,48.86375889388788,2.352226638659213,entire_place,Great Location; WiFi Available; Full Kitchen; Well Equipped,Cleanliness Issues; Slow Response,[Cleanliness]: Improve cleaning standards between guests || [Pricing]: Consider lowering price - currently above market || [Communication]: Improve response time || [Quality]: Focus on guest experience for Superhost status,Airbnb Resource Center | HostIQ Analysis
3879238,9649701,"Paris, Ile-de-France, France",1,55,54,1,0.996,5.0,4.84,5.0,5.0,4.98,403.03,662.8863192383607,259.86,4.96,0.9968,1,100,59.0,65.2,48.8539,2.3504,entire_place,Superhost Status; Highly Rated (16x); WiFi Available; Air Conditioning; Full Kitchen; Parking Available; Well Equipped; Quick Response; Will Return (11x); Very Clean,Overpriced,[Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
