Property_ID,Host_ID,Listing_Name,Location,Total_Reviews,Positive_Reviews,Negative_Reviews,Avg_Sentiment_Score,Cleanliness_Rating,Communication_Rating,Checkin_Rating,Location_Rating,Value_Rating,Advantages,Disadvantages,Suggestions,Suggestion_Sources
1008791497848928346,436103373,"Entire rental unit in Paris, France","Paris, Île-de-France, France",24,23,1,0.906,4.6,4.8,4.8,5.0,4.5,Great Location (4x); Walkable (4x); Responsive Host (4x); Spacious (2x); Very Comfortable (2x),Too Cold (1x); Too Small (1x); Dirty General (1x); Bugs Pests (1x),"[Too Cold]: Ensure the heating system works properly and provide clear instructions on how to use it. Consider adding extra blankets, warm bedding, or a space heater for colder months. || [Too Small]: Clean and declutter. Show guests exactly what they can expect. “It’s surprising how many people forget to clear their spaces of random objects before taking photos,” says Jeff, a photographer and Superhost in Joshua Tree, California. || [Dirty General]: Use the Arrival guide to provide clear and simple checkout instructions. Consider whether checkout tasks like taking out the rubbish or gathering used towels is a five-star experience for guests. Making these chores part of your cleaning routine could lead to better reviews.",How to take great photos for your listing - Resource Center - Airbnb | Add check-in and checkout instructions to listings - Airbnb Help Cente | Make check-in and checkout easy – Resource Centre – Airbnb
1011462555557466520,449867761,"Entire rental unit in Paris, France","Paris, Île-de-France, France",3,3,0,1.0,5.0,5.0,5.0,4.7,5.0,Highly Recommend (1x),No issues identified,No issues identified - keep up the great work!,
1018800539663048716,146996034,"Entire rental unit in Paris, France","Paris, Île-de-France, France",24,22,2,0.835,5.0,4.8,4.9,4.6,4.5,Responsive Host (6x); Highly Recommend (5x); Great Location (5x); Very Clean (5x); Good Bed (4x),Noise General (4x); Dirty General (1x),"[Noise General]: Noise: Guests should respect designated quiet hours and should not disturb the surrounding community with a disruptive level of noise (loud music, shouting, slamming doors, etc.). || [Dirty General]: Use the Arrival guide to provide clear and simple checkout instructions. Consider whether checkout tasks like taking out the rubbish or gathering used towels is a five-star experience for guests. Making these chores part of your cleaning routine could lead to better reviews.",Ground rules for home guests - Airbnb Help Center | Make check-in and checkout easy – Resource Centre – Airbnb
1019019105678840779,526047514,"Entire rental unit in Paris, France","Paris, Île-de-France, France",8,6,2,0.516,4.8,4.4,4.2,4.8,4.0,Central (3x); Great Location (2x); Quiet Area (2x); Well Equipped (1x); Very Clean (1x),No issues identified,No issues identified - keep up the great work!,
1030343727622587887,16207679,"Entire rental unit in Paris, France","Paris, Île-de-France, France",22,22,0,0.999,5.0,5.0,5.0,5.0,4.9,Very Comfortable (8x); Great Location (6x); Highly Recommend (5x); Good Bed (4x); Quiet Area (4x),Too Hot (1x); Noise General (1x); Noise Street (1x),"[Too Hot]: Add every amenity you offer. Consider which popular amenities you can add or improve, like replacing a lockbox with a smart lock or upgrading your wifi. The top amenities guests search for include self check-in, wifi, a washer, a dryer, TV or cable, and a barbecue area.*** || [Noise General]: Noise: Guests should respect designated quiet hours and should not disturb the surrounding community with a disruptive level of noise (loud music, shouting, slamming doors, etc.). || [Noise Street]: Include a short, descriptive listing title. Check that your title offers a unique, accurate perspective of your home and surroundings. For example, “Quiet studio near Uffizi” conveys in a few words that the place is a peaceful, centrally located apartment in Florence, Italy.",How to become a Superhost - Resource Center - Airbnb | Ground rules for home guests - Airbnb Help Center
1030562130853787821,26990366,"Entire rental unit in Paris, France","Paris, Île-de-France, France",1,1,0,1.0,,,,,,Beautiful Place (1x); Well Equipped (1x); Very Comfortable (1x); Highly Recommend (1x); Perfect Stay (1x),No issues identified,No issues identified - keep up the great work!,
1036135167953775316,99040006,"Entire rental unit in Paris, France","Paris, Île-de-France, France",3,3,0,1.0,4.0,5.0,5.0,5.0,4.3,Highly Recommend (1x); Very Clean (1x); Spacious (1x); Very Comfortable (1x),No issues identified,No issues identified - keep up the great work!,
1037780486463838268,549151518,"Entire rental unit in Paris, France","Paris, Île-de-France, France",19,18,1,0.896,4.9,4.9,4.7,5.0,4.7,Spacious (4x); Great Location (3x); Responsive Host (3x); Will Return (3x); Very Clean (2x),No issues identified,No issues identified - keep up the great work!,
1038522290460271737,456251316,"Entire rental unit in Paris, France","Paris, Île-de-France, France",24,22,2,0.844,4.9,5.0,4.9,4.7,4.8,Responsive Host (6x); Great Location (6x); Will Return (4x); Very Comfortable (4x); Very Clean (3x),Noise General (4x); Noise Street (1x),"[Noise General]: Noise: Guests should respect designated quiet hours and should not disturb the surrounding community with a disruptive level of noise (loud music, shouting, slamming doors, etc.). || [Noise Street]: Include a short, descriptive listing title. Check that your title offers a unique, accurate perspective of your home and surroundings. For example, “Quiet studio near Uffizi” conveys in a few words that the place is a peaceful, centrally located apartment in Florence, Italy.",How to become a Superhost - Resource Center - Airbnb | Ground rules for home guests - Airbnb Help Center
1038905827338722922,495824206,"Entire rental unit in Paris, France","Paris, Île-de-France, France",10,8,2,0.595,4.1,4.5,4.6,4.5,4.0,Great Location (4x); Good Bed (1x); Responsive Host (1x),Too Small (2x); Dirty Bathroom (1x); Smell Issues (1x); Bugs Pests (1x),"[Too Small]: Clean and declutter. Show guests exactly what they can expect. “It’s surprising how many people forget to clear their spaces of random objects before taking photos,” says Jeff, a photographer and Superhost in Joshua Tree, California. || [Dirty Bathroom]: Bathroom basics. This means providing: Shampoo and/or 2-in-1 shampoo and conditioner Body soap Hand soap Access to full bathroom facilities, including a seated, flushable toilet, a bathtub or shower, a sink, and hot and cold running water || [Smell Issues]: Everyone has a different sense of smell. Strong scents of any kind can be off-putting to guests. Trying to mask odors with bleach, air fresheners, or other solutions usually doesn’t work, Diana says.",Confirming amenities - Airbnb Help Center | How to take great photos for your listing - Resource Center - Airbnb | Clean like a pro with these expert tips - Resource Center - Airbnb
