city,price,lat,long,guests,pets_allowed,property_id,is_supperhost,host_number_of_reviews,host_rating,hosts_year,host_response_rate,is_guest_favorite,property_number_of_reviews,seller_id,state,country,num_images,cancellation_type,log_price,bedrooms,beds,bathrooms,property_type,has_ac,has_wifi,has_pool,has_kitchen,has_parking,amenities_count,poi_restaurants,poi_cafes,poi_transit,poi_bus_stops,poi_supermarkets,poi_total,data_source_type,walk_score,booking_hotel_count,booking_avg_rating,booking_total_reviews,booking_data_source,beds_per_bedroom,guests_per_bedroom,bathrooms_per_bedroom,host_quality_score,reviews_per_year,amenities_per_guest,premium_amenity_score,tourism_density,local_hotel_competition_quality,foodie_score,transport_score,cancellation_type_indexed,property_type_indexed,data_source_type_indexed,features,prediction,review_total,review_positive,review_negative,review_sentiment,rating_cleanliness,rating_communication,rating_checkin,rating_location,rating_value,review_advantages,review_disadvantages,review_suggestions
Paris,137.79,48.8775,2.3534,2,0,844902266320666166,0,13,4.92,2,100,0,13,18381934,Ile-de-France,France,12,Full refund,4.932961999367748,1,1,1.0,entire_place,1,1,0,1,1,40,45.54838709677419,14.5,8.838709677419354,7.258064516129032,1.064516129032258,77.20967741935483,city_fallback,75.1,69,7.248837209302324,17149,exact_grid,1,2.0,1.0,0.6936,6.5,20.0,2,4.248495242049359,70.67437560868781,60.04838709677419,16.096774193548384,0,0,0,"{""vectorType"":""dense"",""length"":45,""values"":[48.8775,2.3534,2,0,0,13,4.92,2,100,0,13,12,1,1,1,1,1,0,1,1,40,45.54838709677419,14.5,8.838709677419354,7.258064516129032,1.064516129032258,77.20967741935483,75.1,69,7.248837209302324,17149,1,2,1,0.6936,6.5,20,2,4.248495242049359,70.67437560868781,60.04838709677419,16.096774193548384,0,0,0]}",474.0328372678018,13,12,1,0.855,4.9,5.0,5.0,4.9,4.8,Highly Recommend (4x); Responsive Host (3x); Will Return (2x); Walkable (2x); Great Host (1x),No issues identified,No issues identified - keep up the great work!
Paris,273.02,48.86385,2.36557,2,0,908599895151427699,0,25,4.56,3,100,0,13,484292568,Ile-de-France,France,19,Full refund,5.613201096424962,1,1,1.0,entire_place,0,1,0,1,1,47,45.54838709677419,14.5,8.838709677419354,7.258064516129032,1.064516129032258,77.20967741935483,city_fallback,75.6,79,7.668888888888888,14427,exact_grid,1,2.0,1.0,0.6648000000000001,4.333333333333333,23.5,1,4.382026634673881,73.44438171338412,60.04838709677419,16.096774193548384,0,0,0,"{""vectorType"":""dense"",""length"":45,""values"":[48.86385,2.36557,2,0,0,25,4.56,3,100,0,13,19,1,1,1,0,1,0,1,1,47,45.54838709677419,14.5,8.838709677419354,7.258064516129032,1.064516129032258,77.20967741935483,75.6,79,7.668888888888888,14427,1,2,1,0.6648000000000001,4.333333333333333,23.5,1,4.382026634673881,73.44438171338412,60.04838709677419,16.096774193548384,0,0,0]}",350.37527811292034,13,13,0,1.0,4.6,4.8,4.8,5.0,4.8,Will Return (4x); Responsive Host (3x); Well Equipped (3x); Spacious (3x); Very Comfortable (2x),Dirty General (1x); Safety Concerns (1x),"[Dirty General]: Use the Arrival guide to provide clear and simple checkout instructions. Consider whether checkout tasks like taking out the rubbish or gathering used towels is a five-star experience for guests. Making these chores part of your cleaning routine could lead to better reviews. || [Safety Concerns]: Smoke and carbon monoxide (CO) alarms save lives. That’s why we’re on a mission to get alarms into as many listings as possible. We strongly urge hosts to install smoke and carbon monoxide alarms in spaces that use fuel-burning appliances, test them regularly, and make sure their listing description is up to date. Check out preparing your listing with safety essentials for more information."
Paris,114.0,48.8607,2.3788,2,0,1343431046369374897,0,5105,4.33,3,99,0,1,464015699,Ile-de-France,France,19,Full refund,4.74493212836325,1,1,1.0,entire_place,0,1,0,1,0,35,45.54838709677419,14.5,8.838709677419354,7.258064516129032,1.064516129032258,77.20967741935483,city_fallback,74.4,35,6.652941176470588,1435,exact_grid,1,2.0,1.0,0.6434,0.3333333333333333,17.5,0,3.58351893845611,48.364332610628466,60.04838709677419,16.096774193548384,0,0,0,"{""vectorType"":""dense"",""length"":45,""values"":[48.8607,2.3788,2,0,0,5105,4.33,3,99,0,1,19,1,1,1,0,1,0,1,0,35,45.54838709677419,14.5,8.838709677419354,7.258064516129032,1.064516129032258,77.20967741935483,74.4,35,6.652941176470588,1435,1,2,1,0.6434,0.3333333333333333,17.5,0,3.58351893845611,48.364332610628466,60.04838709677419,16.096774193548384,0,0,0]}",428.8706625312473,1,1,0,0.998,,,,,,Will Return (1x),No issues identified,No issues identified - keep up the great work!
Paris,95.31,48.85505,2.38333,2,1,1141235520673622434,1,80,4.79,8,100,0,76,47524898,Ile-de-France,France,15,Full refund,4.567572155572773,1,1,1.0,entire_place,0,1,0,1,0,30,45.54838709677419,14.5,8.838709677419354,7.258064516129032,1.064516129032258,77.20967741935483,city_fallback,75.6,52,7.177272727272728,10352,exact_grid,1,2.0,1.0,0.9832,9.5,15.0,0,3.970291913552122,66.35411324990315,60.04838709677419,16.096774193548384,0,0,0,"{""vectorType"":""dense"",""length"":45,""values"":[48.85505,2.38333,2,1,1,80,4.79,8,100,0,76,15,1,1,1,0,1,0,1,0,30,45.54838709677419,14.5,8.838709677419354,7.258064516129032,1.064516129032258,77.20967741935483,75.6,52,7.177272727272728,10352,1,2,1,0.9832000000000001,9.5,15,0,3.970291913552122,66.35411324990315,60.04838709677419,16.096774193548384,0,0,0]}",366.71493543710983,24,21,3,0.78,4.9,5.0,4.8,5.0,4.8,Highly Recommend (9x); Great Location (5x); Very Comfortable (5x); Responsive Host (3x); Quiet Area (3x),Plumbing Issues (1x),"[Plumbing Issues]: Bathroom basics. This means providing: Shampoo and/or 2-in-1 shampoo and conditioner Body soap Hand soap Access to full bathroom facilities, including a seated, flushable toilet, a bathtub or shower, a sink, and hot and cold running water"
Paris,248.59,48.8618,2.3413,4,0,639885081245760540,1,107,4.71,10,100,0,86,33375651,Ile-de-France,France,25,Full refund,5.519819571590121,1,1,1.0,entire_place,0,1,0,1,1,34,45.54838709677419,14.5,8.838709677419354,7.258064516129032,1.064516129032258,77.20967741935483,city_fallback,75.5,108,8.068852459016394,9675,exact_grid,1,4.0,1.0,0.9768,8.6,8.5,1,4.6913478822291435,74.05111779779453,60.04838709677419,16.096774193548384,0,0,0,"{""vectorType"":""dense"",""length"":45,""values"":[48.8618,2.3413,4,0,1,107,4.71,10,100,0,86,25,1,1,1,0,1,0,1,1,34,45.54838709677419,14.5,8.838709677419354,7.258064516129032,1.064516129032258,77.20967741935483,75.5,108,8.068852459016394,9675,1,4,1,0.9768000000000001,8.6,8.5,1,4.6913478822291435,74.05111779779453,60.04838709677419,16.096774193548384,0,0,0]}",526.6422138338913,24,23,1,0.911,4.7,4.9,4.8,4.9,4.6,Responsive Host (5x); Great Location (4x); Walkable (4x); Well Equipped (3x); Perfect Stay (3x),Noise Street (1x); Dirty General (1x),"[Noise Street]: Include a short, descriptive listing title. Check that your title offers a unique, accurate perspective of your home and surroundings. For example, “Quiet studio near Uffizi” conveys in a few words that the place is a peaceful, centrally located apartment in Florence, Italy. || [Dirty General]: Use the Arrival guide to provide clear and simple checkout instructions. Consider whether checkout tasks like taking out the rubbish or gathering used towels is a five-star experience for guests. Making these chores part of your cleaning routine could lead to better reviews."
Paris,205.0,48.8551,2.3686,2,0,1267922515377677449,0,1,5.0,3,100,0,1,199498945,Ile-de-France,France,23,Partial refund,5.327876168789581,1,1,1.0,entire_place,0,1,0,1,1,41,45.54838709677419,14.5,8.838709677419354,7.258064516129032,1.064516129032258,77.20967741935483,city_fallback,74.9,67,7.766666666666666,4666,exact_grid,1,2.0,1.0,0.7,0.3333333333333333,20.5,1,4.219507705176107,65.61491056021023,60.04838709677419,16.096774193548384,2,0,0,"{""vectorType"":""dense"",""length"":45,""values"":[48.8551,2.3686,2,0,0,1,5,3,100,0,1,23,1,1,1,0,1,0,1,1,41,45.54838709677419,14.5,8.838709677419354,7.258064516129032,1.064516129032258,77.20967741935483,74.9,67,7.766666666666666,4666,1,2,1,0.7,0.3333333333333333,20.5,1,4.219507705176107,65.61491056021023,60.04838709677419,16.096774193548384,2,0,0]}",511.6430768464318,1,1,0,0.998,,,,,,Great Location (1x); Great Host (1x),No issues identified,No issues identified - keep up the great work!
Paris,296.24,48.8755,2.3495,6,0,1181077268842401519,1,637,4.87,6,100,1,74,1475566,Ile-de-France,France,12,No refund,5.694539893289268,2,2,1.0,entire_place,0,1,1,1,1,41,92.0,11.0,5.0,5.0,2.0,115.0,exact_grid,83.1,92,7.262264150943396,19641,exact_grid,1,3.0,0.5,0.9896,12.333333333333334,6.833333333333333,2,4.532599493153256,71.79057056981792,103.0,10.0,1,0,1,"{""vectorType"":""dense"",""length"":45,""values"":[48.8755,2.3495,6,0,1,637,4.87,6,100,1,74,12,2,2,1,0,1,1,1,1,41,92,11,5,5,2,115,83.1,92,7.262264150943396,19641,1,3,0.5,0.9896,12.333333333333334,6.833333333333333,2,4.532599493153256,71.79057056981792,103,10,1,0,1]}",414.3765361049848,24,23,1,0.916,4.9,4.9,5.0,4.9,4.7,Very Clean (5x); Great Location (4x); Highly Recommend (4x); Beautiful Place (3x); Walkable (3x),Too Small (1x); Dirty Bathroom (1x); Safety Concerns (1x); Noise General (1x),"[Too Small]: Clean and declutter. Show guests exactly what they can expect. “It’s surprising how many people forget to clear their spaces of random objects before taking photos,” says Jeff, a photographer and Superhost in Joshua Tree, California. || [Dirty Bathroom]: Bathroom basics. This means providing: Shampoo and/or 2-in-1 shampoo and conditioner Body soap Hand soap Access to full bathroom facilities, including a seated, flushable toilet, a bathtub or shower, a sink, and hot and cold running water || [Safety Concerns]: Smoke and carbon monoxide (CO) alarms save lives. That’s why we’re on a mission to get alarms into as many listings as possible. We strongly urge hosts to install smoke and carbon monoxide alarms in spaces that use fuel-burning appliances, test them regularly, and make sure their listing description is up to date. Check out preparing your listing with safety essentials for more information. || [Noise General]: Be transparent about noise levels in your listing description. Consider providing earplugs for guests. If possible, add soundproofing or double-glazed windows."
Paris,121.75,48.8727,2.34717,2,0,6838781,0,137,4.74,10,100,0,137,35837917,Ile-de-France,France,32,Full refund,4.81014976667463,1,1,1.0,unique_stay,0,1,0,1,1,22,92.0,11.0,5.0,5.0,2.0,115.0,exact_grid,83.0,106,6.851785714285714,17974,exact_grid,1,2.0,1.0,0.6792,13.7,11.0,1,4.672828834461906,67.12514387427667,103.0,10.0,0,3,1,"{""vectorType"":""dense"",""length"":45,""values"":[48.8727,2.34717,2,0,0,137,4.74,10,100,0,137,32,1,1,1,0,1,0,1,1,22,92,11,5,5,2,115,83,106,6.851785714285714,17974,1,2,1,0.6792,13.7,11,1,4.672828834461906,67.12514387427667,103,10,0,3,1]}",147.74851659855028,24,22,2,0.845,4.6,4.9,4.9,4.9,4.7,Very Comfortable (3x); Great Communication (3x); Responsive Host (3x); Great Location (2x); Highly Recommend (2x),Too Small (3x); Dirty General (1x),"[Too Small]: Clean and declutter. Show guests exactly what they can expect. “It’s surprising how many people forget to clear their spaces of random objects before taking photos,” says Jeff, a photographer and Superhost in Joshua Tree, California. || [Dirty General]: Use the Arrival guide to provide clear and simple checkout instructions. Consider whether checkout tasks like taking out the rubbish or gathering used towels is a five-star experience for guests. Making these chores part of your cleaning routine could lead to better reviews."
Paris,404.0,48.8652,2.3503,5,0,577361166440708789,0,15,4.93,3,100,1,15,4978371,Ile-de-France,France,35,Full refund,6.003887067106539,2,2,2.0,entire_place,0,1,0,1,1,52,120.0,42.0,9.0,4.0,5.0,180.0,exact_grid,96.9,378,7.22994923857868,11462,exact_grid,1,2.5,1.0,0.6944,5.0,10.4,1,5.937536205082426,67.57746603121122,162.0,13.0,0,0,1,"{""vectorType"":""dense"",""length"":45,""values"":[48.8652,2.3503,5,0,0,15,4.93,3,100,1,15,35,2,2,2,0,1,0,1,1,52,120,42,9,4,5,180,96.9,378,7.22994923857868,11462,1,2.5,1,0.6944,5,10.4,1,5.937536205082426,67.57746603121122,162,13,0,0,1]}",520.8982847907171,15,14,1,0.87,4.9,5.0,4.9,4.9,4.8,Responsive Host (4x); Great Location (4x); Beautiful Place (3x); Highly Recommend (3x); Great Host (2x),No issues identified,No issues identified - keep up the great work!
Paris,761.0,48.85351,2.35531,3,0,1102923011454388735,1,20,4.9,1,100,0,20,560892322,Ile-de-France,France,12,Partial refund,6.635946555686647,2,2,2.0,entire_place,0,1,0,1,1,32,45.54838709677419,14.5,8.838709677419354,7.258064516129032,1.064516129032258,77.20967741935483,city_fallback,74.9,50,8.476923076923079,7867,exact_grid,1,1.5,1.0,0.992,20.0,10.666666666666666,1,3.9318256327243257,76.04274012168358,60.04838709677419,16.096774193548384,2,0,0,"{""vectorType"":""dense"",""length"":45,""values"":[48.85351,2.35531,3,0,1,20,4.9,1,100,0,20,12,2,2,2,0,1,0,1,1,32,45.54838709677419,14.5,8.838709677419354,7.258064516129032,1.064516129032258,77.20967741935483,74.9,50,8.476923076923079,7867,1,1.5,1,0.992,20,10.666666666666666,1,3.9318256327243257,76.04274012168358,60.04838709677419,16.096774193548384,2,0,0]}",214.15155452294673,20,20,0,0.999,5.0,4.8,4.9,5.0,4.7,Will Return (5x); Great Location (4x); Highly Recommend (3x); Beautiful Place (3x); Very Comfortable (3x),Too Hot (1x); Too Small (1x),"[Too Hot]: Add every amenity you offer. Consider which popular amenities you can add or improve, like replacing a lockbox with a smart lock or upgrading your wifi. The top amenities guests search for include self check-in, wifi, a washer, a dryer, TV or cable, and a barbecue area.*** || [Too Small]: Clean and declutter. Show guests exactly what they can expect. “It’s surprising how many people forget to clear their spaces of random objects before taking photos,” says Jeff, a photographer and Superhost in Joshua Tree, California."
